,id_measurement,probability,class
0,2904,0.11783776,0.0
1,2905,0.045073997,0.0
2,2906,0.04628532,0.0
3,2907,0.072090834,0.0
4,2908,0.03115582,0.0
5,2909,0.112573355,0.0
6,2910,0.15324083,0.0
7,2911,0.03471505,0.0
8,2912,0.37671494,0.0
9,2913,0.07628984,0.0
10,2914,0.032501534,0.0
11,2915,0.034131814,0.0
12,2916,0.8171761,1.0
13,2917,0.034667682,0.0
14,2918,0.5060327,1.0
15,2919,0.03578976,0.0
16,2920,0.057258405,0.0
17,2921,0.040212188,0.0
18,2922,0.26163298,0.0
19,2923,0.7675423,1.0
20,2924,0.036332533,0.0
21,2925,0.026324002,0.0
22,2926,0.08387979,0.0
23,2927,0.11601464,0.0
24,2928,0.1315756,0.0
25,2929,0.029054629,0.0
26,2930,0.0272642,0.0
27,2931,0.104315,0.0
28,2932,0.027195353,0.0
29,2933,0.03540288,0.0
30,2934,0.05815602,0.0
31,2935,0.6981915,1.0
32,2936,0.06801809,0.0
33,2937,0.03184541,0.0
34,2938,0.046914116,0.0
35,2939,0.015687788,0.0
36,2940,0.30116278,0.0
37,2941,0.021157777,0.0
38,2942,0.62148243,1.0
39,2943,0.12482715,0.0
40,2944,0.051945165,0.0
41,2945,0.04377207,0.0
42,2946,0.032543764,0.0
43,2947,0.07221439,0.0
44,2948,0.029353054,0.0
45,2949,0.03136576,0.0
46,2950,0.10076386,0.0
47,2951,0.43276358,0.0
48,2952,0.025378812,0.0
49,2953,0.18894556,0.0
50,2954,0.16348962,0.0
51,2955,0.38106805,0.0
52,2956,0.027599055,0.0
53,2957,0.0322679,0.0
54,2958,0.030071262,0.0
55,2959,0.052130666,0.0
56,2960,0.06530013,0.0
57,2961,0.35080332,0.0
58,2962,0.026639175,0.0
59,2963,0.08295977,0.0
60,2964,0.09198916,0.0
61,2965,0.04277965,0.0
62,2966,0.23165023,0.0
63,2967,0.91441876,1.0
64,2968,0.14086188,0.0
65,2969,0.042951524,0.0
66,2970,0.039313577,0.0
67,2971,0.073131844,0.0
68,2972,0.055868518,0.0
69,2973,0.11297383,0.0
70,2974,0.04646126,0.0
71,2975,0.03473119,0.0
72,2976,0.03068501,0.0
73,2977,0.028510762,0.0
74,2978,0.13245805,0.0
75,2979,0.034099046,0.0
76,2980,0.16168445,0.0
77,2981,0.19583732,0.0
78,2982,0.028854406,0.0
79,2983,0.1181153,0.0
80,2984,0.030978518,0.0
