,id_measurement,hard_voted_class,avg_probability,soft_voted_class
0,0,0,0.10578074,0.0
1,1,1,0.5473001,1.0
2,2,0,0.0031374306,0.0
3,3,0,0.0020903205,0.0
4,4,0,0.018443514,0.0
5,5,0,0.008969816,0.0
6,6,0,0.042710703,0.0
7,7,0,0.0014316061,0.0
8,8,0,0.022575092,0.0
9,9,0,0.009188579,0.0
10,10,0,0.002533591,0.0
11,11,0,0.0026243473,0.0
12,12,0,0.01510728,0.0
13,13,0,0.34013617,0.0
14,14,0,0.13194492,0.0
15,15,0,0.0010834631,0.0
16,16,0,0.13311598,0.0
17,17,0,0.004385685,0.0
18,18,0,0.06246693,0.0
19,19,0,0.001325694,0.0
20,20,0,0.0056274245,0.0
21,21,0,0.0016701793,0.0
22,22,0,0.029879373,0.0
23,23,0,0.018749574,0.0
24,24,0,0.0032958582,0.0
25,25,0,0.0019982045,0.0
26,26,0,0.0011529208,0.0
27,27,0,0.002575274,0.0
28,28,0,0.0009118145,0.0
29,29,0,0.0072900774,0.0
30,30,0,0.018471243,0.0
31,31,0,0.0122280605,0.0
32,32,0,0.0040224404,0.0
33,33,0,0.002062926,0.0
34,34,0,0.0031090577,0.0
35,35,0,0.0046534995,0.0
36,36,0,0.0014582836,0.0
37,37,0,0.004912401,0.0
38,38,0,0.018056251,0.0
39,39,0,0.0030756854,0.0
40,40,0,0.2186095,0.0
41,41,0,0.39142078,0.0
42,42,0,0.010469105,0.0
43,43,0,0.0032347715,0.0
44,44,0,0.0026438253,0.0
45,45,0,0.00043745642,0.0
46,46,0,0.0037909374,0.0
47,47,0,0.008002444,0.0
48,48,0,0.027790183,0.0
49,49,0,0.0060452465,0.0
50,50,0,0.0066722916,0.0
51,51,0,0.009205526,0.0
52,52,0,0.008034469,0.0
53,53,0,0.002172495,0.0
54,54,0,0.058842342,0.0
55,55,0,0.001585339,0.0
56,56,0,0.00801803,0.0
57,57,0,0.0007116913,0.0
58,58,0,0.00259272,0.0
59,59,0,0.019265471,0.0
60,60,0,0.009884025,0.0
61,61,0,0.0067765648,0.0
62,62,0,0.004408352,0.0
63,63,0,0.0040366296,0.0
64,64,0,0.002452763,0.0
65,65,0,0.0016431964,0.0
66,66,0,0.039786667,0.0
67,67,1,0.68020314,1.0
68,68,0,0.004957254,0.0
69,69,0,0.0032350575,0.0
70,70,0,0.004203474,0.0
71,71,0,0.0039727474,0.0
72,72,0,0.012436857,0.0
73,73,0,0.0011259033,0.0
74,74,0,0.00736926,0.0
75,75,0,0.0069027217,0.0
76,76,0,0.21714532,0.0
77,77,0,0.028202325,0.0
78,78,0,0.0016512228,0.0
79,79,0,0.003385427,0.0
80,80,0,0.047778834,0.0
81,81,0,0.029569572,0.0
82,82,0,0.012379302,0.0
83,83,0,0.0008562923,0.0
84,84,0,0.0022976096,0.0
85,85,0,0.0025780536,0.0
86,86,0,0.02684575,0.0
87,87,0,0.011484249,0.0
88,88,0,0.24459133,0.0
89,89,0,0.20026453,0.0
90,90,0,0.3043554,0.0
91,91,0,0.0043564094,0.0
92,92,0,0.0009868497,0.0
93,93,1,0.8789676,1.0
94,94,0,0.0030406504,0.0
95,95,1,0.6964843,1.0
96,96,1,0.76114887,1.0
97,97,0,0.011139718,0.0
98,98,1,0.84638035,1.0
99,99,0,0.0017150497,0.0
100,100,0,0.0016274992,0.0
101,101,0,0.0018522467,0.0
102,102,0,0.002639132,0.0
