,id_measurement,probability,class
0,2904,0.5812704,1.0
1,2905,0.2229129,0.0
2,2906,0.2718181,0.0
3,2907,0.39549947,0.0
4,2908,0.19434756,0.0
5,2909,0.4419348,0.0
6,2910,0.49827874,0.0
7,2911,0.17378162,0.0
8,2912,0.48871526,0.0
9,2913,0.3977212,0.0
10,2914,0.4792306,0.0
11,2915,0.45924863,0.0
12,2916,0.88910687,1.0
13,2917,0.2354807,0.0
14,2918,0.7448994,1.0
15,2919,0.32079017,0.0
16,2920,0.4778644,0.0
17,2921,0.31088284,0.0
18,2922,0.549971,1.0
19,2923,0.4468314,0.0
20,2924,0.18031481,0.0
21,2925,0.26769462,0.0
22,2926,0.41340396,0.0
23,2927,0.43413165,0.0
24,2928,0.5122269,1.0
25,2929,0.47192448,0.0
26,2930,0.23965359,0.0
27,2931,0.48711532,0.0
28,2932,0.24171422,0.0
29,2933,0.29735172,0.0
30,2934,0.47857904,0.0
31,2935,0.47810504,0.0
32,2936,0.46777886,0.0
33,2937,0.23112434,0.0
34,2938,0.49020892,0.0
35,2939,0.6542555,1.0
36,2940,0.63597804,1.0
37,2941,0.17222169,0.0
38,2942,0.58453345,1.0
39,2943,0.5739484,1.0
40,2944,0.49295226,0.0
41,2945,0.48453635,0.0
42,2946,0.3046571,0.0
43,2947,0.46347293,0.0
44,2948,0.2284018,0.0
45,2949,0.188548,0.0
46,2950,0.5007774,1.0
47,2951,0.69070876,1.0
48,2952,0.29255372,0.0
49,2953,0.4685154,0.0
50,2954,0.4856414,0.0
51,2955,0.72211087,1.0
52,2956,0.2433947,0.0
53,2957,0.46892098,0.0
54,2958,0.30093268,0.0
55,2959,0.25697333,0.0
56,2960,0.45279095,0.0
57,2961,0.7403316,1.0
58,2962,0.23231234,0.0
59,2963,0.4536216,0.0
60,2964,0.50026214,1.0
61,2965,0.43026945,0.0
62,2966,0.6594175,1.0
63,2967,0.9461827,1.0
64,2968,0.5455147,1.0
65,2969,0.42764208,0.0
66,2970,0.2180028,0.0
67,2971,0.37064683,0.0
68,2972,0.4853414,0.0
69,2973,0.74894917,1.0
70,2974,0.21455865,0.0
71,2975,0.1732878,0.0
72,2976,0.2495201,0.0
73,2977,0.21158801,0.0
74,2978,0.4969186,0.0
75,2979,0.1961312,0.0
76,2980,0.60448676,1.0
77,2981,0.7332867,1.0
78,2982,0.25196895,0.0
79,2983,0.64754844,1.0
80,2984,0.25360754,0.0
81,2985,0.4758711,0.0
82,2986,0.4799589,0.0
83,2987,0.46725747,0.0
84,2988,0.47927612,0.0
85,2989,0.18658459,0.0
86,2990,0.39647052,0.0
87,2991,0.39664954,0.0
88,2992,0.20138344,0.0
89,2993,0.50361854,1.0
90,2994,0.79463255,1.0
91,2995,0.38120058,0.0
92,2996,0.44180527,0.0
93,2997,0.29856676,0.0
94,2998,0.45030758,0.0
95,2999,0.9376614,1.0
96,3000,0.4419658,0.0
97,3001,0.21347544,0.0
98,3002,0.370587,0.0
99,3003,0.32128122,0.0
100,3004,0.494159,0.0
101,3005,0.19989872,0.0
102,3006,0.48173967,0.0
103,3007,0.4831985,0.0
104,3008,0.26230705,0.0
105,3009,0.49250516,0.0
106,3010,0.42723906,0.0
107,3011,0.43561822,0.0
108,3012,0.17830251,0.0
109,3013,0.68410873,1.0
110,3014,0.20126683,0.0
111,3015,0.69381374,1.0
112,3016,0.3722861,0.0
113,3017,0.70163184,1.0
114,3018,0.51552856,1.0
115,3019,0.42465302,0.0
116,3020,0.4716573,0.0
117,3021,0.5454051,1.0
118,3022,0.33156788,0.0
119,3023,0.20471488,0.0
120,3024,0.92388034,1.0
121,3025,0.27337122,0.0
122,3026,0.24667054,0.0
123,3027,0.48831242,0.0
124,3028,0.49286526,0.0
125,3029,0.46779695,0.0
126,3030,0.23884685,0.0
127,3031,0.39808878,0.0
128,3032,0.18114768,0.0
129,3033,0.31293818,0.0
130,3034,0.32662424,0.0
131,3035,0.45394138,0.0
