,id_measurement,probability,class
0,2904,0.5680328,1.0
1,2905,0.48553818,0.0
2,2906,0.42976636,0.0
3,2907,0.52663654,1.0
4,2908,0.44543272,0.0
5,2909,0.48537692,0.0
6,2910,0.54758376,1.0
7,2911,0.45745707,0.0
8,2912,0.5168812,1.0
9,2913,0.45881996,0.0
10,2914,0.46705428,0.0
11,2915,0.5252568,1.0
12,2916,0.68709445,1.0
13,2917,0.48573992,0.0
14,2918,0.5890724,1.0
15,2919,0.4555077,0.0
16,2920,0.45305544,0.0
17,2921,0.5049248,1.0
18,2922,0.5287909,1.0
19,2923,0.5658515,1.0
20,2924,0.46853414,0.0
21,2925,0.52324486,1.0
22,2926,0.42903766,0.0
23,2927,0.5425792,1.0
24,2928,0.49930906,0.0
25,2929,0.4064803,0.0
26,2930,0.43053097,0.0
27,2931,0.45465004,0.0
28,2932,0.4684828,0.0
29,2933,0.42758706,0.0
30,2934,0.549981,1.0
31,2935,0.6252613,1.0
32,2936,0.522872,1.0
33,2937,0.45771936,0.0
34,2938,0.48558056,0.0
35,2939,0.55036294,1.0
36,2940,0.56246436,1.0
37,2941,0.41524535,0.0
38,2942,0.5268214,1.0
39,2943,0.51485115,1.0
40,2944,0.52316,1.0
41,2945,0.4559144,0.0
42,2946,0.50920266,1.0
43,2947,0.5314414,1.0
44,2948,0.43858445,0.0
45,2949,0.4595297,0.0
46,2950,0.509455,1.0
47,2951,0.62881565,1.0
48,2952,0.43698856,0.0
49,2953,0.5305669,1.0
50,2954,0.45730075,0.0
51,2955,0.622025,1.0
52,2956,0.49758694,0.0
53,2957,0.5798898,1.0
54,2958,0.41900623,0.0
55,2959,0.50468844,1.0
56,2960,0.50504607,1.0
57,2961,0.6166461,1.0
58,2962,0.4476111,0.0
59,2963,0.49069008,0.0
60,2964,0.4954859,0.0
61,2965,0.5177478,1.0
62,2966,0.62420934,1.0
63,2967,0.69615614,1.0
64,2968,0.5022296,1.0
65,2969,0.49084577,0.0
66,2970,0.44686335,0.0
67,2971,0.45928505,0.0
68,2972,0.5400446,1.0
69,2973,0.5623726,1.0
70,2974,0.47374284,0.0
71,2975,0.4809713,0.0
72,2976,0.39379868,0.0
73,2977,0.47682616,0.0
74,2978,0.5001149,1.0
75,2979,0.4653823,0.0
76,2980,0.59813637,1.0
77,2981,0.55506736,1.0
78,2982,0.45708376,0.0
79,2983,0.6280141,1.0
80,2984,0.4799978,0.0
81,2985,0.50050783,1.0
82,2986,0.55527335,1.0
83,2987,0.5413087,1.0
84,2988,0.47828496,0.0
85,2989,0.44355783,0.0
86,2990,0.46105552,0.0
87,2991,0.4718655,0.0
88,2992,0.4694889,0.0
89,2993,0.5352231,1.0
90,2994,0.64065915,1.0
91,2995,0.47790614,0.0
92,2996,0.5008773,1.0
93,2997,0.49936035,0.0
94,2998,0.33430266,0.0
95,2999,0.7168897,1.0
96,3000,0.52002424,1.0
97,3001,0.4901675,0.0
98,3002,0.356351,0.0
99,3003,0.53368545,1.0
100,3004,0.43640876,0.0
101,3005,0.43028066,0.0
102,3006,0.5153731,1.0
103,3007,0.44802028,0.0
104,3008,0.4816991,0.0
105,3009,0.53880036,1.0
106,3010,0.52103394,1.0
107,3011,0.47230068,0.0
108,3012,0.45220602,0.0
109,3013,0.6210073,1.0
110,3014,0.49830666,0.0
111,3015,0.5265414,1.0
112,3016,0.43933308,0.0
113,3017,0.62561965,1.0
114,3018,0.6140408,1.0
115,3019,0.50084597,1.0
116,3020,0.504274,1.0
117,3021,0.5961087,1.0
118,3022,0.49801078,0.0
119,3023,0.4262244,0.0
120,3024,0.60660183,1.0
121,3025,0.35761765,0.0
122,3026,0.47813722,0.0
123,3027,0.46826825,0.0
124,3028,0.50526154,1.0
125,3029,0.43148205,0.0
126,3030,0.4600313,0.0
127,3031,0.4055295,0.0
128,3032,0.47097144,0.0
129,3033,0.49221265,0.0
130,3034,0.519136,1.0
131,3035,0.5273286,1.0
132,3036,0.5555439,1.0
133,3037,0.4411799,0.0
134,3038,0.53866804,1.0
135,3039,0.62920713,1.0
136,3040,0.5515344,1.0
137,3041,0.4573029,0.0
138,3042,0.45543486,0.0
139,3043,0.49442753,0.0
140,3044,0.41759694,0.0
141,3045,0.5073203,1.0
142,3046,0.5572279,1.0
143,3047,0.47890604,0.0
144,3048,0.4789443,0.0
145,3049,0.5681835,1.0
146,3050,0.42497537,0.0
147,3051,0.39352134,0.0
148,3052,0.47009805,0.0
149,3053,0.47499126,0.0
150,3054,0.47489253,0.0
151,3055,0.6333093,1.0
152,3056,0.43824422,0.0
153,3057,0.4031693,0.0
154,3058,0.50422025,1.0
155,3059,0.42155483,0.0
156,3060,0.5603247,1.0
157,3061,0.5934876,1.0
158,3062,0.48582658,0.0
159,3063,0.6551908,1.0
160,3064,0.65610033,1.0
161,3065,0.45890826,0.0
162,3066,0.47015646,0.0
163,3067,0.5195397,1.0
164,3068,0.42005998,0.0
165,3069,0.52911544,1.0
166,3070,0.5459547,1.0
167,3071,0.46756083,0.0
168,3072,0.47131175,0.0
169,3073,0.6106606,1.0
170,3074,0.4926756,0.0
171,3075,0.45887855,0.0
172,3076,0.66257185,1.0
173,3077,0.4631907,0.0
174,3078,0.45424423,0.0
175,3079,0.4406738,0.0
176,3080,0.4960869,0.0
177,3081,0.5561226,1.0
178,3082,0.6283043,1.0
179,3083,0.5080182,1.0
180,3084,0.6071512,1.0
181,3085,0.5253359,1.0
182,3086,0.6854957,1.0
183,3087,0.41693872,0.0
184,3088,0.48380634,0.0
185,3089,0.39596656,0.0
186,3090,0.43237674,0.0
187,3091,0.5159076,1.0
188,3092,0.47163004,0.0
189,3093,0.49885714,0.0
190,3094,0.39955148,0.0
191,3095,0.4597599,0.0
192,3096,0.47874227,0.0
193,3097,0.54151374,1.0
194,3098,0.5397077,1.0
195,3099,0.4537317,0.0
196,3100,0.42880398,0.0
197,3101,0.43356174,0.0
198,3102,0.59648025,1.0
199,3103,0.5022074,1.0
200,3104,0.44923702,0.0
201,3105,0.5311168,1.0
202,3106,0.5298843,1.0
203,3107,0.5799866,1.0
204,3108,0.5456813,1.0
205,3109,0.5001902,1.0
