,id_measurement,probability,class
0,0,0.9998135,1.0
1,1,0.99673164,1.0
2,2,0.9999589,1.0
3,3,0.9999256,1.0
4,4,0.99977225,1.0
5,5,0.9996613,1.0
6,6,0.9999893,1.0
7,7,0.9998685,1.0
8,8,0.99983907,1.0
9,9,0.99925774,1.0
10,10,0.99994934,1.0
11,11,0.99986637,1.0
12,12,0.9998324,1.0
13,13,0.9999281,1.0
14,14,0.99996805,1.0
15,15,0.999895,1.0
16,16,0.999642,1.0
17,17,0.9999435,1.0
18,18,0.99919635,1.0
19,19,0.9999646,1.0
20,20,0.999696,1.0
21,21,0.99990153,1.0
22,22,0.9999411,1.0
23,23,0.99929726,1.0
24,24,0.9998889,1.0
25,25,0.9635837,1.0
26,26,0.9998416,1.0
27,27,0.9999845,1.0
28,28,0.99968565,1.0
29,29,0.9999927,1.0
30,30,0.9999788,1.0
31,31,0.9994923,1.0
32,32,0.99999106,1.0
33,33,0.99998736,1.0
34,34,0.99993527,1.0
35,35,0.99976474,1.0
36,36,0.9999747,1.0
37,37,0.9999783,1.0
38,38,0.99989974,1.0
39,39,0.99943656,1.0
40,40,0.9999486,1.0
41,41,0.9999974,1.0
42,42,0.99999106,1.0
43,43,0.99977356,1.0
44,44,0.99998724,1.0
45,45,0.999985,1.0
46,46,0.99999297,1.0
47,47,0.99919254,1.0
48,48,0.9904867,1.0
49,49,0.99981827,1.0
50,50,0.9999342,1.0
51,51,0.99999356,1.0
52,52,0.9996722,1.0
53,53,0.99976057,1.0
54,54,0.99993885,1.0
55,55,0.9998672,1.0
56,56,0.9999443,1.0
57,57,0.9998723,1.0
58,58,0.9999927,1.0
59,59,0.99989307,1.0
60,60,1.0,1.0
61,61,0.99998426,1.0
62,62,0.99988115,1.0
63,63,0.9999769,1.0
64,64,0.99980587,1.0
65,65,0.9998122,1.0
66,66,0.9999881,1.0
67,67,0.99998236,1.0
68,68,0.9999119,1.0
69,69,0.999949,1.0
70,70,0.9999999,1.0
71,71,0.9999894,1.0
72,72,0.9999559,1.0
73,73,0.9999689,1.0
74,74,0.99995995,1.0
75,75,0.99995816,1.0
76,76,0.9999887,1.0
77,77,0.99997735,1.0
78,78,0.99919504,1.0
79,79,0.9991897,1.0
80,80,0.999943,1.0
81,81,0.9998441,1.0
82,82,0.9996081,1.0
83,83,0.9999037,1.0
84,84,0.99992645,1.0
85,85,0.99999166,1.0
86,86,0.99999976,1.0
87,87,0.99998355,1.0
88,88,0.9997758,1.0
89,89,0.9998198,1.0
90,90,0.99942076,1.0
91,91,0.9999691,1.0
92,92,0.9999913,1.0
93,93,1.0,1.0
94,94,1.0,1.0
95,95,0.99986434,1.0
96,96,0.9999881,1.0
97,97,0.9999883,1.0
98,98,0.99999607,1.0
99,99,0.99995947,1.0
100,100,1.0,1.0
101,101,0.9999883,1.0
102,102,1.0,1.0
103,103,1.0,1.0
104,104,0.9994198,1.0
105,105,0.99989176,1.0
106,106,0.99989665,1.0
107,107,0.99987507,1.0
108,108,0.99992716,1.0
109,109,0.9996414,1.0
110,110,1.0,1.0
111,111,0.9999865,1.0
112,112,0.999902,1.0
113,113,0.9996517,1.0
114,114,0.9999362,1.0
115,115,0.99971133,1.0
116,116,0.9998431,1.0
117,117,0.9999535,1.0
118,118,0.9997887,1.0
119,119,0.99995375,1.0
