,id_measurement,probability,class
0,2904,1.0,1.0
1,2905,1.0,1.0
2,2906,1.0,1.0
3,2907,1.0,1.0
4,2908,1.0,1.0
5,2909,1.0,1.0
6,2910,1.0,1.0
7,2911,1.0,1.0
8,2912,1.0,1.0
9,2913,1.0,1.0
10,2914,1.0,1.0
11,2915,1.0,1.0
12,2916,1.0,1.0
13,2917,1.0,1.0
14,2918,1.0,1.0
15,2919,1.0,1.0
16,2920,1.0,1.0
17,2921,0.9999999,1.0
18,2922,1.0,1.0
19,2923,1.0,1.0
20,2924,1.0,1.0
21,2925,0.99999726,1.0
22,2926,1.0,1.0
23,2927,1.0,1.0
24,2928,1.0,1.0
25,2929,1.0,1.0
26,2930,1.0,1.0
27,2931,1.0,1.0
28,2932,0.9999999,1.0
29,2933,1.0,1.0
30,2934,0.9999994,1.0
31,2935,1.0,1.0
32,2936,1.0,1.0
33,2937,1.0,1.0
34,2938,1.0,1.0
35,2939,0.96830666,1.0
36,2940,1.0,1.0
37,2941,1.0,1.0
38,2942,1.0,1.0
39,2943,1.0,1.0
40,2944,1.0,1.0
41,2945,1.0,1.0
42,2946,1.0,1.0
43,2947,1.0,1.0
44,2948,1.0,1.0
45,2949,1.0,1.0
46,2950,1.0,1.0
47,2951,1.0,1.0
48,2952,1.0,1.0
49,2953,1.0,1.0
50,2954,1.0,1.0
51,2955,1.0,1.0
52,2956,1.0,1.0
53,2957,1.0,1.0
54,2958,0.99999976,1.0
55,2959,1.0,1.0
56,2960,1.0,1.0
57,2961,1.0,1.0
58,2962,1.0,1.0
59,2963,1.0,1.0
60,2964,1.0,1.0
61,2965,1.0,1.0
62,2966,1.0,1.0
63,2967,1.0,1.0
64,2968,1.0,1.0
65,2969,1.0,1.0
66,2970,1.0,1.0
67,2971,1.0,1.0
68,2972,1.0,1.0
69,2973,0.99999964,1.0
70,2974,0.9999999,1.0
71,2975,0.9999999,1.0
72,2976,0.9999999,1.0
73,2977,1.0,1.0
74,2978,1.0,1.0
75,2979,0.9999995,1.0
76,2980,1.0,1.0
77,2981,1.0,1.0
78,2982,1.0,1.0
79,2983,0.9999995,1.0
80,2984,1.0,1.0
81,2985,0.99999976,1.0
82,2986,0.99999976,1.0
83,2987,1.0,1.0
84,2988,1.0,1.0
85,2989,1.0,1.0
86,2990,1.0,1.0
87,2991,1.0,1.0
88,2992,0.99999976,1.0
89,2993,1.0,1.0
90,2994,1.0,1.0
91,2995,1.0,1.0
92,2996,1.0,1.0
93,2997,1.0,1.0
94,2998,1.0,1.0
95,2999,0.9999999,1.0
96,3000,1.0,1.0
97,3001,1.0,1.0
98,3002,1.0,1.0
99,3003,0.99999917,1.0
100,3004,1.0,1.0
101,3005,1.0,1.0
102,3006,1.0,1.0
103,3007,1.0,1.0
104,3008,1.0,1.0
105,3009,1.0,1.0
106,3010,1.0,1.0
107,3011,1.0,1.0
108,3012,0.9999999,1.0
109,3013,1.0,1.0
110,3014,1.0,1.0
111,3015,0.9999999,1.0
112,3016,0.99999976,1.0
113,3017,1.0,1.0
114,3018,1.0,1.0
115,3019,1.0,1.0
116,3020,1.0,1.0
117,3021,1.0,1.0
118,3022,1.0,1.0
119,3023,1.0,1.0
120,3024,1.0,1.0
121,3025,1.0,1.0
122,3026,1.0,1.0
123,3027,1.0,1.0
124,3028,1.0,1.0
125,3029,1.0,1.0
126,3030,1.0,1.0
127,3031,0.9999999,1.0
128,3032,0.9999999,1.0
129,3033,1.0,1.0
130,3034,1.0,1.0
131,3035,1.0,1.0
132,3036,1.0,1.0
133,3037,1.0,1.0
134,3038,1.0,1.0
135,3039,0.99999976,1.0
136,3040,0.99999845,1.0
137,3041,1.0,1.0
138,3042,1.0,1.0
139,3043,0.9999993,1.0
140,3044,1.0,1.0
141,3045,1.0,1.0
142,3046,0.99999976,1.0
143,3047,1.0,1.0
144,3048,1.0,1.0
145,3049,1.0,1.0
146,3050,1.0,1.0
147,3051,1.0,1.0
148,3052,0.99999964,1.0
149,3053,1.0,1.0
150,3054,1.0,1.0
151,3055,1.0,1.0
152,3056,1.0,1.0
153,3057,1.0,1.0
154,3058,1.0,1.0
155,3059,1.0,1.0
156,3060,1.0,1.0
157,3061,0.9999999,1.0
158,3062,0.9999995,1.0
159,3063,1.0,1.0
160,3064,0.99999917,1.0
161,3065,1.0,1.0
162,3066,1.0,1.0
163,3067,1.0,1.0
164,3068,1.0,1.0
165,3069,0.9999989,1.0
166,3070,1.0,1.0
167,3071,0.99999976,1.0
168,3072,1.0,1.0
169,3073,1.0,1.0
170,3074,1.0,1.0
171,3075,1.0,1.0
172,3076,1.0,1.0
173,3077,1.0,1.0
